word,definition
Define the word:  topology,study of places and their natural features
Define the word:  topomancy,divination using landforms
Define the word:  toponomastic,of like or pertaining to place names
Define the word:  toponym,place name derived from geographical feature
Define the word:  toponymics,study of place-names
Define the word:  topophilia,great love or affection for a particular place
Define the word:  topophobia,stage fright; fear of performing; fear of certain places
Define the word:  topophone,instrument to determine direction and distance of a fog-horn
Define the word:  topotype,specimen collected in the same locality as an original
Define the word:  topsail,ship's sail above the lowermost sail
Define the word:  toran,arched gateway or garland of flowers
Define the word:  torchier,floor lamp with bowl for reflecting light upwards
Define the word:  torchon,duster or dishcloth; coarse lace or paper
Define the word:  torcula,wine press
Define the word:  torcular,tourniquet
Define the word:  tordion,Renaissance dance similar to but slower than a galliard
Define the word:  tore,surface described by rotation of conic section about a line
Define the word:  toreumatography,description of ancient metal sculpture
Define the word:  toreutics,artistic work in metal by chasing and embossing
Define the word:  torfaceous,growing in mosses or bogs
Define the word:  tormentum,ancient siege engine
Define the word:  tornote,having blunt extremities
Define the word:  toroid,shaped like a doughnut or anchor-ring
Define the word:  torose,swelling; bulging; knobby; muscular
Define the word:  torpedinous,numbing; having the quality of a torpedo
Define the word:  torpefy,to make numb or torpid; to paralyze
Define the word:  torpescence,becoming numb or torpid
Define the word:  torpid,numb; lethargic; having lost the power to act
Define the word:  torpillage,electric shock therapy
Define the word:  torpor,numbness; inactivity; dullness
Define the word:  torporific,causing dullness or numbness
Define the word:  torquated,wearing a collar or chain; formed like a torque
Define the word:  torr,unit of pressure equal to 1/760 of standard atmospheric pressure
Define the word:  torrefy,to scorch or parch; to dry or roast with heat
Define the word:  torrentine,of like or pertaining to a torrent; having the character of a torrent
Define the word:  torsade,ornament on a hat like a twisted cord; any twisted cord
Define the word:  torsel,plate in a brick wall to support the end of a beam
Define the word:  torsibility,capability of being twisted
Define the word:  torsiograph,instrument for recording torsional vibrations on an object
Define the word:  torsive,twisted spirally
Define the word:  torticollis,stiff neck
Define the word:  tortile,wreathed; twisted; coiled
Define the word:  tortious,committing a wrongful deed
Define the word:  torulose,with small swellings at intervals
Define the word:  torus,rounded swelling; lowest moulding of a column
Define the word:  torvity,grimness; fierceness
Define the word:  torvous,stern
Define the word:  tosh,rubbish; drivel; nonsense
Define the word:  tosticated,fuddled; perplexed
Define the word:  tot,bone or other object retrieved from garbage pile
Define the word:  totemism,belief that a group has a special kinship with an object or animal
Define the word:  tother,the other
Define the word:  totidem verbis,in so many words
Define the word:  totient,number of numbers less than and prime to a given number
Define the word:  totipotent,capable of differentiation
Define the word:  totitive,number less than and prime to another
Define the word:  tourbillon,swirl; vortex; whirlwind
Define the word:  tournure,contour; characteristic turn of line; grace or poise
Define the word:  tovarish,comrade
Define the word:  tow,bundle of untwisted natural fibres
Define the word:  toxicogenic,producing or produced by poisons
Define the word:  toxicomania,morbid craving for poisons
Define the word:  toxicophagous,eating poison
Define the word:  toxicophobia,fear of poisoning
Define the word:  toxiferous,producing or bearing poison
Define the word:  toxiphagous,poison-eating
Define the word:  toxiphobia,fear of poison or being poisoned
Define the word:  toxophilite,lover of archery; an archer; of like or pertaining to archery
Define the word:  toxophily,love of archery; archery; study of archery
Define the word:  toze,to tease out; card; comb; draw out; elicit
Define the word:  trabeate,built of horizontal beams rather than arches
Define the word:  trabecula,small bar or rod
Define the word:  trabeculated,transversely barred
Define the word:  tracasserie,turmoil
Define the word:  trachelate,having a neck
Define the word:  trachyphonia,roughness of voice
Define the word:  tractate,treatise; tract
Define the word:  tractile,ductile; able to be drawn out
Define the word:  traditive,traditional
Define the word:  traduce,to defame; to slander
Define the word:  traductive,transmitted
Define the word:  tragedian,writer or actor of tragedy
Define the word:  tragelaph,mythical crossbreed of a goat and stag
Define the word:  tragomaschalia,smelly armpits
Define the word:  tragus,prominent bump in front of opening of the ear
Define the word:  trahison,treachery; treason
Define the word:  traject,crossing; ferry; transference
Define the word:  tralatition,metaphor
Define the word:  tralatitious,traditional; transmitted; handed on; metaphorical
Define the word:  tralineate,to deviate
Define the word:  tramble,to wash tin-ore by agitation in a trough
Define the word:  trammel,device used to hold pots and pans over a fire
Define the word:  trammel,net used to catch fish or birds
Define the word:  trammel,to hamper or restrain
Define the word:  trammel,tool used for drawing ellipses
Define the word:  tramontane,beyond the mountains; foreign; uncivilized
Define the word:  tranation,act of swimming over or across
Define the word:  trancey,creating a trance-like effect; hypnotic
Define the word:  tranche,slice or block of money or shares
Define the word:  tranchet,Neolithic flint chisel
Define the word:  tranect,ferry
Define the word:  trangam,showy or worthless article
Define the word:  tranq,tranquilizer
Define the word:  transcalent,pervious to or allowing the passage of heat
Define the word:  transcendentalism,theory that emphasizes that which transcends perception
Define the word:  transenna,screen enclosing a shrine
Define the word:  transept,part of a church off to one side of main structure
Define the word:  transfluent,flowing across
Define the word:  tranship,to transfer from one ship to another
Define the word:  transhumant,passing from winter to summer pastures
Define the word:  transilient,leaping or passing across
Define the word:  transire,ship's customs warrant for clearing goods
Define the word:  translative,indicating process of change or movement through
Define the word:  translunary,beyond the moon; spiritual
Define the word:  transmarine,across or beyond the sea
Define the word:  transmigrationism,belief that soul passes into other body at death
Define the word:  transmissometer,instrument for measuring transmission of light through a fluid
Define the word:  transom,structure dividing a window horizontally; horizontal bar
Define the word:  transom,transverse timbers attached to ship's sternpost
Define the word:  transpicuous,transparent; easily seen through or understood
Define the word:  transpontine,from the other side of the river; melodramatic
Define the word:  transubstantiation,miraculous changing of bread and wine into body and blood of Christ
Define the word:  transude,to ooze out; to exude through the pores
Define the word:  transumption,transcription; transference; translation
Define the word:  transuranic,denoting heavy radioactive artificial chemical elements
Define the word:  transverberate,to pierce
Define the word:  transvolation,flying higher than normal
Define the word:  trap,light one-horse carriage with springs
Define the word:  trapezium,quadrilateral having only one pair of parallel sides
Define the word:  trapunto,kind of quilting in which only the design is padded
Define the word:  traulism,stammering
Define the word:  traumatology,study of wounds and their effects
Define the word:  traumatropism,alteration in direction of growth of a plant due to a wound
Define the word:  trautonium,electronic musical instrument like a theramin
Define the word:  trave,crossbeam or space between crossbeams
Define the word:  travelator,moving footpath for pedestrians
Define the word:  traverse,across; crosswise
Define the word:  treacle,dark; syrupy molasses
Define the word:  trebuchet,medieval siege engine for launching stones
Define the word:  trechometer,instrument for determining distance travelled; odometer
Define the word:  treenail,long wooden pin used to fix planks of ship to the timbers
Define the word:  trefoil,three-lobed architectural ornament
Define the word:  tregetour,juggler; trickster; deceiver
Define the word:  treillage,trellis-work; a trellis
Define the word:  trellis,structure of cross-barred or lattice-work
Define the word:  trema,an orifice; a dieresis
Define the word:  tremallose,gelatinous
Define the word:  tremendum,feeling of overwhelming awe associated with religious experience
Define the word:  tremissis,late Roman and early Byzantine gold coin
Define the word:  tremogram,irregularity in a person's handwriting
Define the word:  tremograph,instrument for recording involuntary muscular motion
Define the word:  tremolist,one who employs tremolo
Define the word:  tremolo,vibrating effect of certain musical instruments or the singing voice
Define the word:  tremulous,trembling; quivering
Define the word:  trenchant,incisive; terse; vigorous
Define the word:  trencher,edible plate and platter made of bread
Define the word:  trendle,flat rounded baker's vessel
Define the word:  trental,commemoratory service held thirty days after burial
Define the word:  trepan,obsolete instrument for cutting open the skull
Define the word:  trepanation,cutting open the skull
Define the word:  tresayle,great-great grandfather
Define the word:  tressilate,to quiver
Define the word:  tressure,narrow band around a heraldic shield
Define the word:  trews,close-fitting trousers with tartan pattern
Define the word:  triage,selection for patients most likely to survive
Define the word:  trialism,doctrine that humans have three separate essences (body soul spirit)
Define the word:  triarchy,government by three people
Define the word:  triatic,rope joining adjacent mastheads
Define the word:  tribade,female homosexual; lesbian
Define the word:  tribadism,lesbian intercourse in the missionary position
Define the word:  tribble,horizontal frame with wires for drying paper
Define the word:  tribology,study of friction and wear between surfaces
Define the word:  triboluminescence,emission of light caused by friction
Define the word:  tribometer,instrument measuring friction
Define the word:  tribuloid,yielding prickly fruit
Define the word:  tribunitial,of like or pertaining to a tribune
Define the word:  tributorian,of like or pertaining to tribute or payment
Define the word:  trice,to haul in and lash secure a sail with a small rope
Define the word:  tricephalous,having three heads
Define the word:  trichoclasis,brittleness of hair
Define the word:  trichogenous,producing hair
Define the word:  trichoic,having or exhibiting three colours
Define the word:  trichoid,hair-like
Define the word:  trichology,study of hair and its disorders
Define the word:  trichoschisis,splitting of hair
Define the word:  trichosis,arrangement distribution or disorder of hair
Define the word:  trichotillomania,neurosis where patient pulls out own hair
Define the word:  trichotomy,division into three parts or categories
Define the word:  tricoaster,combination of three-speed gear and coaster brake on a cycle
Define the word:  tricolette,silk or rayon knitted fabric
Define the word:  tricorn,three-horned; three-cornered
Define the word:  tricot,plain knitted silk or woollen fabric
Define the word:  tricotee,lively old dance
Define the word:  tricotine,double-twilled worsted fabric
Define the word:  tridominium,threefold rule
Define the word:  triduan,lasting three days
Define the word:  triduum,period of three days of prayer preceding Roman Catholic feasts
Define the word:  trierarchy,obligation of fitting out ships
Define the word:  trieteric,occurring in alternate years
Define the word:  trifarious,facing three ways
Define the word:  triforium,gallery or arcade over an aisle; gallery over nave and choir
Define the word:  trifurcate,to divide into three forks
Define the word:  trig,stone placed under a wheel to keep it from rolling
Define the word:  trigamy,state of being married to three spouses
Define the word:  triglyph,architectural ornament of tablet bearing two V-shaped channels
Define the word:  trigon,ancient Greek triangular harp
Define the word:  trigonal,having three angles
Define the word:  trigonometer,instrument for solving triangles
Define the word:  trigraph,combination of three letters for one sound
Define the word:  trihoral,happening every three hours
Define the word:  trilaminar,having three layers
Define the word:  trilemma,quandary having three choices
Define the word:  trilith,stone monument of two upright and one transverse slab
Define the word:  trimacular,having three spots or marks
Define the word:  trimerous,having the parts in threes
Define the word:  trin,triplet
Define the word:  trinacriform,three-pronged
Define the word:  trindle,thin piece of wood which holds book spine while trimmed
Define the word:  tringoid,of like or pertaining to sandpipers
Define the word:  trinoctial,lasting three nights
Define the word:  trionym,name consisting of three words
Define the word:  triphibious,taking place on land in water and in air
Define the word:  triphthong,three vowel sounds pronounced as one
Define the word:  triplopia,triple vision
Define the word:  trippet,part of machine which strikes another part regularly
Define the word:  tripsis,pulverization; shampooing; massage
Define the word:  triptote,used in three cases only
Define the word:  triptych,hinged painting with three panels
Define the word:  tripudiate,to dance for joy; to exult; to stamp
Define the word:  triquetra,triangular-shaped object
Define the word:  trireme,ancient ship with three banks of oars
Define the word:  triskaidekaphobia,fear of the number thirteen
Define the word:  triskelion,figure of three radiating curves or legs
Define the word:  trismus,lockjaw
Define the word:  tristachyous,three-spiked
Define the word:  tristichous,having or in three rows
Define the word:  tristiloquy,mournful manner of speech
Define the word:  tristisonous,mournful-sounding
Define the word:  trisulcate,having three ridges or forks
Define the word:  tritanopia,inability to distinguish the colour blue
Define the word:  tritarchy,government by three people; triarchy
Define the word:  tritavia,four-greats grandmother
Define the word:  tritavus,four-greats grandfather
Define the word:  tritheism,belief that the members of the Trinity are separate gods
Define the word:  tritheocracy,government by three gods
Define the word:  tritical,trite; common
Define the word:  triticeous,wheat-like
Define the word:  triticism,trite remark
Define the word:  triturate,to rub or grind into a fine powder
Define the word:  triumphalism,belief in the superiority of one particular religious creed
Define the word:  triune,trinity; three in one
Define the word:  trivet,tripod for a pot; metal plate to raise food from heat
Define the word:  trivirgate,having three linear marks
Define the word:  troat,to bellow like a roaring buck
Define the word:  trochal,wheel-like; circular
Define the word:  trocheameter,instrument counting wheel's revolutions
Define the word:  trochiferous,bearing a wheel or wheel-like organ
Define the word:  trochiform,shaped like a spinning-top
Define the word:  trochilic,of like or pertaining to rotatory motion
Define the word:  trochilidine,of like or pertaining to hummingbirds
Define the word:  trochiline,of like or pertaining to hummingbirds
Define the word:  trochiscus,medicated tablet or lozenge
Define the word:  trochlear,like a pulley
Define the word:  trochoid,curve traced by a fixed point in plane of a circle
Define the word:  trochomancy,divination by studying wheel tracks
Define the word:  troglodytic,cave-dwelling
Define the word:  troglodytine,of like or pertaining to wrens
Define the word:  trogon,tropical bird with brilliant plumage
Define the word:  troika,carriage drawn by three horses
Define the word:  troilism,sexual activity between three people
Define the word:  troll,to sing heartily; to sing the succession of parts of a musical round
Define the word:  trommel,revolving sieve for cleaning or sizing minerals
Define the word:  tromometer,instrument for measuring slight earthquake shocks
Define the word:  tronc,collection of gratuities to be divided out later
Define the word:  trope,any figure of speech; figurative language
Define the word:  trophallaxis,mutual exchange of nutriment in symbiosis
Define the word:  trophism,nutrition
Define the word:  trophobiosis,exchange of nutriment in symbiotic relationship
Define the word:  trophology,study of nutrition
Define the word:  trophotropism,direction of growth by nutritional factors
Define the word:  tropic,like a keel
Define the word:  tropism,a tendency to react to stimuli in a specific manner
Define the word:  tropological,characterized by tropes or figures of speech
Define the word:  tropology,figurative language; moral interpretation of the Bible
Define the word:  tropometer,instrument measuring rotation
Define the word:  tropophilous,flourishing in seasonal extremes of climate
Define the word:  tropophyte,plant adapted to alterations of moisture and drought
Define the word:  trottoir,pavement
Define the word:  trousseau,clothes collected by a bride for her marriage
Define the word:  trouvaille,a fortunate find
Define the word:  trover,legal action brought to recover goods from wrongful owner
Define the word:  trucage,faking of works of art
Define the word:  trucidation,slaughter
Define the word:  truckle,to submit; to cringe
Define the word:  truculent,belligerent; cruel; pugnacious; defiant; aggressive
Define the word:  trullization,act of plastering with a trowel
Define the word:  trumeau,piece of wall or pillar between two openings
Define the word:  trumpery,deception; trickery; showy nonsense
Define the word:  truncheon,broken spear; broken or cut piece
Define the word:  trunnion,a pin or pivot on which something can be rotated
Define the word:  trutinate,to weigh using a balance; to evaluate mentally
Define the word:  truttaceous,of like or pertaining to trout
Define the word:  tryma,nut-like fruit
Define the word:  trypanocide,killing of trypanosomes
Define the word:  trysail,ship's sail bent to a gaff and hoisted on a lower mast
Define the word:  tsessebe,central African antelope with lyre-shaped horns
Define the word:  tsiganology,study of gypsies
Define the word:  tsiology,treatise on tea
Define the word:  tuant,of writing keen or trenchant
Define the word:  tuatara,spiny reptile of New Zealand with vestigial third eye
Define the word:  tuberiferous,bearing tubers
Define the word:  tuberiform,shaped like a lump or protuberance
Define the word:  tuberous,having tubers; knobbed
Define the word:  tubicinate,to blow a trumpet
Define the word:  tubicolous,inhabiting a tube
Define the word:  tubicornous,hollow-horned
Define the word:  tubifacient,constructing a tube
Define the word:  tubiform,shaped like a tube
Define the word:  tubulate,to form into a tube; to provide with a tube
Define the word:  tubulure,tubular opening
Define the word:  tuck,part of ship where ends of lower planks meet under the stern
Define the word:  tucket,flourish on a trumpet
Define the word:  tucutucu,rat-like burrowing South American rodent
Define the word:  tufa,rock made of fine volcanic detritus
Define the word:  tufthunter,toady
Define the word:  tuille,armour plate hanging below the tasses
Define the word:  tuism,apostrophe; reference to or regard to a second person
Define the word:  tuism,theory that individuals have a second or other self
Define the word:  tuitive,giving instruction; acquired by instruction
Define the word:  tulchan,calf's skin set beside a cow to make her give milk freely
Define the word:  tulipomania,obsession with tulips
Define the word:  tulle,sheer and delicate thin silk
Define the word:  tumblehome,inward curve of upper parts of sides of a ship
Define the word:  tumbrel,old instrument of punishment like a pillory
Define the word:  tumefacient,causing swelling
Define the word:  tumefy,to swell
Define the word:  tumescent,tending to swell
Define the word:  tumid,inflated; falsely sublime; bombastic
Define the word:  tumorigenic,producing tumours
Define the word:  tum-tum,dog-cart
Define the word:  tumular,consisting of a mound or tumulus
Define the word:  tumultuary,chaotic; haphazard
Define the word:  tumulus,barrow-mound; mound of earth over a grave
Define the word:  tund,to beat; to thump
Define the word:  tunicate,covered with layers
Define the word:  tunicle,short ecclesiastical vestment worn by bishop or subdeacon
Define the word:  tup,ram; pile-driver; striking face of steam hammer or jackhammer
Define the word:  turaco,crested African colourful bird with long tail and red wings
Define the word:  turbary,right to take peat from another's ground
Define the word:  turbidimeter,instrument for measuring turbidity of liquids
Define the word:  turbinate,shaped like a top or inverted cone
Define the word:  turdiform,like a thrush
Define the word:  turdine,of like or pertaining to thrushes
Define the word:  turgent,swollen
Define the word:  turgescence,act or process of swelling; swollenness
Define the word:  turgid,swollen; inflated
Define the word:  turgometer,instrument for measuring turgidity
Define the word:  turncock,valve for regulating water flow
Define the word:  turnery,art of turning in a lathe
Define the word:  turnspit,person who turns a roasting spit
Define the word:  turnverein,athletic club
Define the word:  turophile,cheese lover
Define the word:  turquoise,blue-green
Define the word:  turrical,of like or pertaining to a tower or turret; like a turret
Define the word:  turriferous,bearing towers
Define the word:  turriform,shaped like a tower
Define the word:  turtleback,structure over ship's bows or stern
Define the word:  tussah,brownish silk fabric
Define the word:  tussicular,of like or pertaining to coughs
Define the word:  tussock,a compact tuft of grass or sedge
Define the word:  tutelary,having the guardianship of a thing
Define the word:  tutiorism,doctrine that one should take the safer moral course
Define the word:  tutulus,conical Roman headdress
Define the word:  tuza,Mexican pouched rodent
Define the word:  twaddle,rubbish; nonsense
Define the word:  twain,two
Define the word:  twee,affectedly dainty; sentimentally sweet
Define the word:  twiforked,bifurcate
Define the word:  twingle,to wriggle; to twist
Define the word:  twink,to blink; to twinkle
Define the word:  twinter,two-year-old domestic animal
Define the word:  twire,to peep; to leer
Define the word:  twixt,between
Define the word:  twizzle,to swirl; to spin
Define the word:  two-step,ballroom dance with two main steps
Define the word:  twyer,nozzle for a blast of air
Define the word:  tychism,theory that accepts role of pure chance
Define the word:  tye,inclined trough for washing ore
Define the word:  tyloma,callus
Define the word:  tympaniform,drum-like; shaped like a drum
Define the word:  tympanum,space within an arch; arched recess at entrance of cathedral
Define the word:  tympany,swelling with pride or with pregnancy
Define the word:  typhlograph,instrument to help the blind write clearly
Define the word:  typhlology,study of blindness and the blind
Define the word:  typhlophile,one who is kind to the blind
Define the word:  typhogenic,causing fever
Define the word:  typhomania,delirious state resulting from typhus fever
Define the word:  typhonic,having the character of a whirlwind or tornado
Define the word:  typographia,matter pertaining to printing or printers
Define the word:  typography,art of printing or using type
Define the word:  typology,study of types of things
Define the word:  typomania,craze for printing one's lucubrations
Define the word:  typothetae,master printers collectively
Define the word:  typtology,theory concerning rappings by spirits or ghosts
Define the word:  tyrannicide,killing or killer of a tyrant
Define the word:  tyriasis,elephantiasis
Define the word:  tyroid,resembling cheese; cheesy
Define the word:  tyroma,cheese-like matter
Define the word:  tyromancy,divination using cheese
Define the word:  uakari,short-tailed long-haired monkey
Define the word:  uberous,yielding an abundance of milk; abounding
Define the word:  uberty,fruitfulness; abundant productiveness
Define the word:  ubi,whereabouts; permanent or present location
Define the word:  ubication,condition of being in a certain location
Define the word:  ubicity,whereabouts
Define the word:  ubiety,location; state of being in a definite place
Define the word:  ubiquarian,one who seems to be everywhere at once
Define the word:  ubique,everywhere
Define the word:  ubiquitarianism,belief that Christ is everywhere
Define the word:  ubity,place or locality
Define the word:  ucalegon,neighbour whose house is on fire
Define the word:  udal,form of land tenure in Orkney and Shetland islands
Define the word:  udometer,instrument for measuring rainfall
Define the word:  ufology,study of alien spacecraft
Define the word:  ughten,morning twilight
Define the word:  uguisu,olive-plumed bush warbler
Define the word:  uintathere,extinct Pleistocene hoofed herbivore
Define the word:  ukase,edict; proclamation by an autocratic government
Define the word:  ukeke,Hawaiian mouth harp with two or three strings
Define the word:  ulatrophy,atrophy of the gums
Define the word:  ulcuscle,a small ulcer
Define the word:  uletic,of like or pertaining to the gums
Define the word:  uliginous,slimy; oozy; swampy; growing in swampy places
Define the word:  ullage,quantity by which vessel is under full capacity
Define the word:  ullagone,cry of lamentation; funeral lament
Define the word:  ulmaceous,of or like elms
Define the word:  uloid,like a scar
Define the word:  ulosis,formation of a scar
Define the word:  ulotrichous,having woolly hair
Define the word:  ultimation,process of bringing to a conclusion
Define the word:  ultimo,of last month
Define the word:  ultimogeniture,inheritance by the last son
Define the word:  ultion,revenge; vengeance
Define the word:  ultracrepidate,to criticize beyond sphere of one's knowledge
Define the word:  ultradian,of physiological cycles longer than an hour and shorter than a day
Define the word:  ultrafidian,going beyond faith
Define the word:  ultrageous,violently extreme
Define the word:  ultraism,holding extreme opinions on a subject
Define the word:  ultramarine,deep blue
Define the word:  ultramicroscope,instrument for viewing extremely small objects
Define the word:  ultramontane,south of the Alps; supporting the Pope
Define the word:  ultroneous,spontaneous; voluntary
Define the word:  umbe,around; about
Define the word:  umbel,mass of flowers springing from a single center
Define the word:  umbelliferous,bearing umbels
Define the word:  umber,brownish red
Define the word:  umbilical,of like or pertaining to the navel; related on the mother's side
Define the word:  umbilicanimism,looking at the navel in search of enlightenment; omphaloskepsis
Define the word:  umbiliciform,shaped like a navel
Define the word:  umbo,central knob or boss of a shield
Define the word:  umbracious,shady
Define the word:  umbraculiform,shaped like an umbrella
Define the word:  umbraculum,umbrella or umbrella-like structure
Define the word:  umbrage,shade; foliage; offence
Define the word:  umbratic,shadowy; providing shade
Define the word:  umbratilous,shadowy; shaded; indoor; secluded
Define the word:  umbriferous,giving or bearing shade
Define the word:  umbril,visor on helmet to protect the eyes from light
Define the word:  umbrose,shade-giving; dusky
Define the word:  umlaut,two dots placed over a vowel to indicate change in vowel sound (Führer)
Define the word:  umstroke,circumference; edge
Define the word:  unalist,priest holding one benefice
Define the word:  unaneled,without extreme unction
Define the word:  unasinous,being equally stupid
Define the word:  unberufen,exclamation to avert ill luck following boasting
Define the word:  unbosom,to pour out; to tell freely
Define the word:  uncate,hooked
Define the word:  uncial,of like or pertaining to an inch or an ounce
Define the word:  unciform,shaped like a hook
Define the word:  unconsentaneous,not in agreement
Define the word:  unction,anointing as right of consecration or healing; warmth of address
Define the word:  unctuous,slimy; oily; greasy; offensively suave and smug
Define the word:  undate,wavy
Define the word:  undecennial,happening every eleven years
Define the word:  undeify,to deprive of the nature of a god
Define the word:  underbreath,subdued voice; rumour
Define the word:  underbridge,bridge carrying a road or railway
Define the word:  undercroft,crypt or vault under a church
Define the word:  underlap,piece of material that extends under another
Define the word:  undern,light midday meal
Define the word:  underwit,inferior wit; half-wit
Define the word:  undigenous,produced by the action of water
Define the word:  undight,to take off; to doff; to undo
Define the word:  undine,female water spirit
Define the word:  undinism,psychological obsession with urine and urination
Define the word:  undulationism,theory that light consists of waves
Define the word:  uneath,difficult; distressing; hard; scarce
Define the word:  ungual,of a claw hoof or talon; clawed
Define the word:  unguentary,of like or pertaining to unguents; one who makes or sells unguents
Define the word:  unguiculate,clawed
Define the word:  unguicule,fingernail
Define the word:  unguiferous,bearing nails or claws
Define the word:  unguiform,shaped like a claw
Define the word:  unguinous,oily; fatty
Define the word:  unguligrade,walking on hoofs
Define the word:  unhouseled,not having received the Eucharist shortly before death
Define the word:  unicity,uniqueness; oneness
Define the word:  unicorn,carriage drawn by three horses in triangular formation
Define the word:  unicornic,resembling a unicorn
Define the word:  unifarious,arranged in a single row or series
Define the word:  unifilar,having only one thread or wire
Define the word:  unigeniture,state or fact of being the only begotten
Define the word:  unigenous,of the same origin kind or sort
Define the word:  unipara,woman having given birth only once
Define the word:  uniparous,producing only one offspring at birth
Define the word:  uniphonous,producing only one variety of musical note
Define the word:  uniplicate,having only one fold
Define the word:  unipotent,powerful in one direction only
Define the word:  unisonous,in unison or agreement
Define the word:  unition,conjunction
Define the word:  universalism,belief in universal salvation
Define the word:  univocal,unmistakeable; unequivocal
Define the word:  univocalic,having only one vowel; written passage using only one vowel
Define the word:  univoltine,having one brood a year
Define the word:  univorous,living on only one host or source of food
Define the word:  unleal,unfaithful
Define the word:  unligable,unable to be bound together
Define the word:  unprevaricate,not perverted
Define the word:  unreeve,to withdraw a rope from an opening
Define the word:  unseel,to unsew the eyes of
Define the word:  unsinew,to take the strength from
Define the word:  unstercorated,not manured
Define the word:  untimeous,untimely
Define the word:  untreasure,to despoil
Define the word:  unwithdrawing,liberal; lavish
Define the word:  unzymotic,fabulous
Define the word:  upaithric,roofless; open to the sky
Define the word:  upas,poisonous or harmful institution or influence
Define the word:  upbuilding,development; edification
Define the word:  upcast,upward throw; material thrown up
Define the word:  upher,rough pole made of fir and used in scaffolding
Define the word:  uplong,extending upward from
Define the word:  uprist,rising; uprising
Define the word:  upspeak,to begin to speak
Define the word:  upstay,to sustain
Define the word:  upsy,in the manner of; thoroughly
Define the word:  upwith,up along
Define the word:  uranic,of the palate
Define the word:  uraniferous,bearing uranium
Define the word:  uraniscus,roof of the mouth
Define the word:  uranism,male homosexuality
Define the word:  uranography,descriptive astronomy and mapping
Define the word:  uranology,study of the heavens; astronomy
Define the word:  uranomancy,divination by studying the heavens
Define the word:  uranomania,obsession with the idea of divinity
Define the word:  uranometry,measurement of distances between heavenly bodies
Define the word:  uranophobia,fear of heaven
Define the word:  uranoplasty,plastic surgery on the hard palate
Define the word:  uranoscopy,star-watching
Define the word:  uraster,starfish
Define the word:  urbacity,excessive pride in one's city
Define the word:  urbanist,expert in urban planning
Define the word:  urbanology,study of cities
Define the word:  urbarial,founded on a register of landed property
Define the word:  urbicide,destruction of a city
Define the word:  urbicolous,dwelling in cities
Define the word:  urbiculture,cultivation or development of urban life
Define the word:  urceiform,shaped like a pitcher
Define the word:  urceolate,shaped like a pitcher
Define the word:  urceus,single-handled jug or pitcher
Define the word:  urdé,pointed; having points
Define the word:  urdee,of a heraldic device pointed or broken into parallel pointed projections
Define the word:  ure,use; custom
Define the word:  uredo,burning feeling in the skin
Define the word:  urenology,study of rust molds
Define the word:  urent,burning; stinging
Define the word:  uresis,urination
Define the word:  urethroscope,instrument for viewing the interior of the urethra
Define the word:  uretic,of like or pertaining to urine
Define the word:  urial,wild central Asian sheep with reddish coat and long curved horns
Define the word:  urimancy,divination by observing urine
Define the word:  urinator,diver
Define the word:  uriniferous,bearing urine
Define the word:  urinometer,instrument for measuring specific gravity of urine
Define the word:  urkingdom,taxonomic group of organisms larger than a kingdom
Define the word:  urman,swampy pine forest
Define the word:  urochs,extinct wild ox or bison
Define the word:  urogenous,producing or produced in urine
Define the word:  urolith,small stone in the urinary tract
Define the word:  urology,study of urine; urinary tract
Define the word:  uromastix,spiky-tailed ground-dwelling lizard
Define the word:  uropoietic,secreting or excreting urine
Define the word:  uropygium,rump of a bird
Define the word:  urosthenic,having a tail designed for propulsion
Define the word:  urraca,noisy South American bird
Define the word:  ursal,fur seal
Define the word:  ursicide,killing or killer of a bear
Define the word:  ursiform,having the shape or appearance of a bear
Define the word:  ursine,of like or pertaining to bears
Define the word:  urtext,earliest version of a text; original unmodified version
Define the word:  urticaceous,of like or pertaining to nettles
Define the word:  urticant,stinging; irritating
Define the word:  urticate,to sting; to flog with nettles
Define the word:  urubu,black tropical New World vulture
Define the word:  usageaster,self-appointed and conservative language usage expert
Define the word:  usance,habit; custom
Define the word:  ushabti,figurine of deceased person placed in Egyptian tomb
Define the word:  usitative,signifying a usual act
Define the word:  ustion,action of burning or searing
Define the word:  ustulation,burning; roasting
Define the word:  usucaption,acquisition of property by long usage and enjoyment
Define the word:  usufruct,the right to use and enjoy something
Define the word:  usward,toward us
Define the word:  utile,profitable; useful
Define the word:  utilitarianism,belief that utility of actions determines moral value
Define the word:  utinam,earnest wish or desire
Define the word:  utraquist,person speaking two or both of two languages
Define the word:  utricide,one who stabs an inflated skin vessel instead of killing someone
Define the word:  utricle,small cavity or sac
Define the word:  utriculiform,shaped like a small cavity or sac
Define the word:  utriform,shaped like a leather bottle or flask
Define the word:  uvala,irregular depression in a karst terrain
Define the word:  uvelloid,resembling a small cluster of grapes
Define the word:  uvid,moist; wet
Define the word:  uxorial,of like or pertaining to a wife
Define the word:  uxoricide,killing of one's own wife
Define the word:  uxorious,excessively fond of one's wife
Define the word:  vaalhaai,South African shark
Define the word:  vaaljapie,inferior wine
Define the word:  vacatur,annulment
Define the word:  vaccary,dairy or cow pasture
Define the word:  vaccimulgence,cow milking
Define the word:  vaccinal,relating to vaccination
Define the word:  vaccine,of like or pertaining to cows; preparation conferring immunity to disease
Define the word:  vaccinia,cow-pox
Define the word:  vacciniform,resembling cow-pox
